timestamp;open;low;high;close;volume
7/14/2003;381;381;430;417;1198338043
7/15/2003;430;417;442;417;420912767
7/16/2003;417;405;417;405;73507314
7/17/2003;405;405;417;417;111095912
7/18/2003;405;405;417;417;41139891
7/21/2003;417;405;430;417;100662714
7/22/2003;417;405;417;417;1407500
7/23/2003;405;405;417;417;99038597
7/24/2003;405;381;405;405;182009927
7/25/2003;393;393;405;405;121872849
7/28/2003;393;381;405;393;35478364
7/29/2003;393;381;393;393;38237431
7/30/2003;381;356;381;381;147104123
7/31/2003;368;368;381;381;29824972
8/1/2003;368;368;381;381;38321840
8/4/2003;381;356;381;381;132617242
8/5/2003;368;356;393;368;220668388
8/6/2003;368;344;368;368;272531317
8/7/2003;368;368;381;381;80928217
8/8/2003;381;368;381;381;8451103
8/11/2003;368;368;381;381;5738818
8/12/2003;368;368;381;381;25801799
8/13/2003;381;368;381;381;13859403
8/14/2003;368;368;381;381;15242496
8/15/2003;368;368;381;381;14866213
8/18/2003;381;381;381;381;0
8/19/2003;381;368;393;381;111703049
8/20/2003;368;368;381;381;16859494
8/21/2003;368;368;417;417;189910845
8/22/2003;417;405;417;417;33954928
8/25/2003;405;393;417;417;70161450
8/26/2003;405;393;417;417;21256915
8/27/2003;405;405;417;417;17999529
8/28/2003;417;405;417;417;20669101
8/29/2003;417;393;417;417;101730543
9/1/2003;405;393;405;405;120472467
9/2/2003;393;381;393;393;78908495
9/3/2003;393;381;405;405;77027082
9/4/2003;405;405;430;430;215291615
9/5/2003;417;417;442;430;144554554
9/8/2003;430;405;430;417;130068691
9/9/2003;417;405;417;417;49138439
9/10/2003;405;405;417;417;31750115
9/11/2003;405;405;417;417;16891020
9/12/2003;405;405;417;417;59282815
9/15/2003;405;405;430;430;104529272
9/16/2003;417;405;430;417;35543451
9/17/2003;417;417;430;430;36781115
9/18/2003;417;417;430;430;33311179
9/19/2003;417;417;430;430;24219378
9/22/2003;430;430;430;430;0
9/23/2003;417;405;417;417;44439992
9/24/2003;417;417;430;430;64820271
9/25/2003;417;417;430;430;44247782
9/26/2003;417;417;430;430;8098211
9/29/2003;417;405;417;417;55930849
9/30/2003;417;405;417;417;17806302
10/1/2003;417;405;430;430;135235966
10/2/2003;417;417;430;430;27942542
10/3/2003;417;417;430;430;3093653
10/6/2003;430;417;430;430;15389958
10/7/2003;417;405;417;417;108424305
10/8/2003;417;405;417;417;56035598
10/9/2003;417;405;417;417;73739185
10/10/2003;417;417;454;454;369320354
10/13/2003;454;442;467;454;65011463
10/14/2003;454;454;503;491;166569120
10/15/2003;491;467;491;479;84778503
10/16/2003;479;454;479;467;123448151
10/17/2003;467;454;467;467;12064433
10/20/2003;467;454;467;467;22688823
10/21/2003;467;442;467;454;53476876
10/22/2003;454;442;467;454;76768769
10/23/2003;454;430;467;442;116526585
10/24/2003;442;442;454;454;42958252
10/27/2003;442;442;454;454;54409446
10/28/2003;442;442;454;454;89940694
10/29/2003;442;442;454;454;64418564
10/30/2003;454;442;467;454;47921114
10/31/2003;454;442;479;467;85835145
